Epoch: 0/20
2024-07-16 00:06:35.843861 Epoch: 0/20, Batch: 53/375, reward: 0.895, loss: 0.006, time_cost:8.024
2024-07-16 00:06:44.454296 Epoch: 0/20, Batch: 54/375, reward: 0.844, loss: -0.023, time_cost:8.586
2024-07-16 00:06:52.739671 Epoch: 0/20, Batch: 55/375, reward: 0.826, loss: 0.004, time_cost:8.260
2024-07-16 00:07:01.290335 Epoch: 0/20, Batch: 56/375, reward: 0.710, loss: -0.010, time_cost:8.485
2024-07-16 00:07:07.260995 Epoch: 0/20, Batch: 57/375, reward: 0.784, loss: -0.018, time_cost:5.952
2024-07-16 00:07:15.088973 Epoch: 0/20, Batch: 58/375, reward: 0.649, loss: -0.122, time_cost:7.809
2024-07-16 00:07:23.268539 Epoch: 0/20, Batch: 59/375, reward: 0.732, loss: 0.310, time_cost:8.157
2024-07-16 00:07:29.812711 Epoch: 0/20, Batch: 60/375, reward: 0.901, loss: 0.005, time_cost:6.522
2024-07-16 00:07:36.881329 Epoch: 0/20, Batch: 61/375, reward: 0.812, loss: -0.013, time_cost:7.046
2024-07-16 00:07:44.413055 Epoch: 0/20, Batch: 62/375, reward: 0.869, loss: 0.030, time_cost:7.509
2024-07-16 00:07:54.576254 Epoch: 0/20, Batch: 63/375, reward: 0.673, loss: 0.567, time_cost:10.135
2024-07-16 00:07:59.001789 Epoch: 0/20, Batch: 64/375, reward: 0.504, loss: -0.028, time_cost:4.402
2024-07-16 00:08:07.758351 Epoch: 0/20, Batch: 65/375, reward: 0.864, loss: -0.024, time_cost:8.697
2024-07-16 00:08:16.006081 Epoch: 0/20, Batch: 66/375, reward: 0.913, loss: 0.001, time_cost:8.229
2024-07-16 00:08:21.510894 Epoch: 0/20, Batch: 67/375, reward: 0.804, loss: -0.035, time_cost:5.483
2024-07-16 00:08:29.649530 Epoch: 0/20, Batch: 68/375, reward: 0.873, loss: -0.014, time_cost:8.106
2024-07-16 00:08:38.088803 Epoch: 0/20, Batch: 69/375, reward: 0.661, loss: 0.251, time_cost:8.419
2024-07-16 00:08:45.068749 Epoch: 0/20, Batch: 70/375, reward: 0.596, loss: -0.002, time_cost:6.957
2024-07-16 00:08:53.064115 Epoch: 0/20, Batch: 71/375, reward: 0.677, loss: -0.195, time_cost:7.956
2024-07-16 00:09:01.041699 Epoch: 0/20, Batch: 72/375, reward: 0.462, loss: -0.107, time_cost:7.928
2024-07-16 00:09:09.634043 Epoch: 0/20, Batch: 73/375, reward: 0.704, loss: 0.333, time_cost:8.568
2024-07-16 00:09:18.109242 Epoch: 0/20, Batch: 74/375, reward: 0.879, loss: 0.018, time_cost:8.425
2024-07-16 00:09:25.615117 Epoch: 0/20, Batch: 75/375, reward: 0.652, loss: -0.012, time_cost:7.485
2024-07-16 00:09:32.433973 Epoch: 0/20, Batch: 76/375, reward: 0.859, loss: 0.013, time_cost:6.800
2024-07-16 00:09:39.303809 Epoch: 0/20, Batch: 77/375, reward: 0.798, loss: -0.010, time_cost:6.838
2024-07-16 00:09:47.363007 Epoch: 0/20, Batch: 78/375, reward: 0.571, loss: 0.013, time_cost:8.038
2024-07-16 00:09:55.004187 Epoch: 0/20, Batch: 79/375, reward: 0.739, loss: -0.006, time_cost:7.622
2024-07-16 00:10:02.578638 Epoch: 0/20, Batch: 80/375, reward: 0.776, loss: 0.015, time_cost:7.548
2024-07-16 00:10:10.598369 Epoch: 0/20, Batch: 81/375, reward: 0.701, loss: -0.013, time_cost:7.989
2024-07-16 00:10:18.228577 Epoch: 0/20, Batch: 82/375, reward: 0.862, loss: -0.007, time_cost:7.568
2024-07-16 00:10:28.191438 Epoch: 0/20, Batch: 83/375, reward: 0.769, loss: -0.235, time_cost:9.940
2024-07-16 00:10:34.457528 Epoch: 0/20, Batch: 84/375, reward: 0.775, loss: -0.011, time_cost:6.228
2024-07-16 00:10:43.259839 Epoch: 0/20, Batch: 85/375, reward: 0.922, loss: -0.031, time_cost:8.781
2024-07-16 00:10:51.864029 Epoch: 0/20, Batch: 86/375, reward: 0.662, loss: 0.052, time_cost:8.553
2024-07-16 00:10:59.938577 Epoch: 0/20, Batch: 87/375, reward: 0.853, loss: 0.017, time_cost:8.033
2024-07-16 00:11:08.658232 Epoch: 0/20, Batch: 88/375, reward: 0.851, loss: -0.013, time_cost:8.695
2024-07-16 00:11:16.980998 Epoch: 0/20, Batch: 89/375, reward: 0.709, loss: -0.091, time_cost:8.272
2024-07-16 00:11:22.435874 Epoch: 0/20, Batch: 90/375, reward: 0.740, loss: -0.052, time_cost:5.406
2024-07-16 00:11:32.040473 Epoch: 0/20, Batch: 91/375, reward: 0.646, loss: -0.009, time_cost:9.576
2024-07-16 00:11:39.015843 Epoch: 0/20, Batch: 92/375, reward: 0.768, loss: -0.280, time_cost:6.940
2024-07-16 00:11:47.801620 Epoch: 0/20, Batch: 93/375, reward: 0.818, loss: 0.004, time_cost:8.738
2024-07-16 00:11:56.469388 Epoch: 0/20, Batch: 94/375, reward: 0.661, loss: 0.155, time_cost:8.641
2024-07-16 00:12:02.478766 Epoch: 0/20, Batch: 95/375, reward: 0.708, loss: -0.026, time_cost:5.985
2024-07-16 00:12:10.797798 Epoch: 0/20, Batch: 96/375, reward: 0.765, loss: 0.000, time_cost:8.289
2024-07-16 00:12:16.786786 Epoch: 0/20, Batch: 97/375, reward: 0.606, loss: -0.150, time_cost:5.938
2024-07-16 00:12:27.650415 Epoch: 0/20, Batch: 98/375, reward: 0.844, loss: 0.001, time_cost:10.841
2024-07-16 00:12:34.045058 Epoch: 0/20, Batch: 99/375, reward: 0.620, loss: -0.032, time_cost:6.376
2024-07-16 00:12:41.699302 Epoch: 0/20, Batch: 100/375, reward: 0.831, loss: -0.027, time_cost:7.615
2024-07-16 00:12:47.935308 Epoch: 0/20, Batch: 101/375, reward: 0.903, loss: 0.005, time_cost:6.195
2024-07-16 00:12:57.481048 Epoch: 0/20, Batch: 102/375, reward: 0.779, loss: -0.042, time_cost:9.518
2024-07-16 00:13:07.246645 Epoch: 0/20, Batch: 103/375, reward: 0.694, loss: -0.329, time_cost:9.741
2024-07-16 00:13:15.039059 Epoch: 0/20, Batch: 104/375, reward: 0.841, loss: -0.002, time_cost:7.765
2024-07-16 00:13:22.406437 Epoch: 0/20, Batch: 105/375, reward: 0.773, loss: -0.176, time_cost:7.342
2024-07-16 00:13:29.746728 Epoch: 0/20, Batch: 106/375, reward: 0.770, loss: -0.009, time_cost:7.288
2024-07-16 00:13:37.076052 Epoch: 0/20, Batch: 107/375, reward: 0.821, loss: -0.370, time_cost:7.310
2024-07-16 00:13:47.416836 Epoch: 0/20, Batch: 108/375, reward: 0.619, loss: -0.003, time_cost:10.318
2024-07-16 00:13:56.223453 Epoch: 0/20, Batch: 109/375, reward: 0.777, loss: -0.017, time_cost:8.733
2024-07-16 00:14:06.320509 Epoch: 0/20, Batch: 110/375, reward: 0.820, loss: 0.030, time_cost:10.079
2024-07-16 00:14:14.948132 Epoch: 0/20, Batch: 111/375, reward: 0.618, loss: 0.329, time_cost:8.550
2024-07-16 00:14:23.115000 Epoch: 0/20, Batch: 112/375, reward: 0.901, loss: -0.007, time_cost:8.142
2024-07-16 00:14:30.945795 Epoch: 0/20, Batch: 113/375, reward: 0.583, loss: -0.126, time_cost:7.765
2024-07-16 00:14:39.547795 Epoch: 0/20, Batch: 114/375, reward: 0.719, loss: -0.284, time_cost:8.527
2024-07-16 00:14:49.339651 Epoch: 0/20, Batch: 115/375, reward: 0.738, loss: 0.019, time_cost:9.763
2024-07-16 00:14:58.913666 Epoch: 0/20, Batch: 116/375, reward: 0.500, loss: 0.043, time_cost:9.555
2024-07-16 00:15:06.263321 Epoch: 0/20, Batch: 117/375, reward: 0.545, loss: 0.262, time_cost:7.313
2024-07-16 00:15:17.366460 Epoch: 0/20, Batch: 118/375, reward: 0.890, loss: 0.050, time_cost:11.076
2024-07-16 00:15:25.146516 Epoch: 0/20, Batch: 119/375, reward: 0.745, loss: 0.014, time_cost:7.744
2024-07-16 00:15:33.634627 Epoch: 0/20, Batch: 120/375, reward: 0.602, loss: -0.029, time_cost:8.468
2024-07-16 00:15:40.616811 Epoch: 0/20, Batch: 121/375, reward: 0.740, loss: 0.000, time_cost:6.961
2024-07-16 00:15:49.007897 Epoch: 0/20, Batch: 122/375, reward: 0.853, loss: -0.025, time_cost:8.372
2024-07-16 00:15:58.917072 Epoch: 0/20, Batch: 123/375, reward: 0.600, loss: 0.166, time_cost:9.892
2024-07-16 00:16:07.770900 Epoch: 0/20, Batch: 124/375, reward: 0.686, loss: 0.046, time_cost:8.836
2024-07-16 00:16:16.198644 Epoch: 0/20, Batch: 125/375, reward: 0.599, loss: -0.072, time_cost:8.409
2024-07-16 00:16:23.488502 Epoch: 0/20, Batch: 126/375, reward: 0.746, loss: 0.099, time_cost:7.242
2024-07-16 00:16:31.191796 Epoch: 0/20, Batch: 127/375, reward: 0.848, loss: -0.005, time_cost:7.682
2024-07-16 00:16:38.456215 Epoch: 0/20, Batch: 128/375, reward: 0.725, loss: -0.019, time_cost:7.206
2024-07-16 00:16:45.848125 Epoch: 0/20, Batch: 129/375, reward: 0.838, loss: -0.018, time_cost:7.364
2024-07-16 00:16:54.150716 Epoch: 0/20, Batch: 130/375, reward: 0.870, loss: 0.026, time_cost:8.278
2024-07-16 00:17:03.703683 Epoch: 0/20, Batch: 131/375, reward: 0.742, loss: 0.099, time_cost:9.531
2024-07-16 00:17:12.496002 Epoch: 0/20, Batch: 132/375, reward: 0.596, loss: 0.164, time_cost:8.742
2024-07-16 00:17:23.848108 Epoch: 0/20, Batch: 133/375, reward: 0.809, loss: 0.184, time_cost:11.334
2024-07-16 00:17:33.156539 Epoch: 0/20, Batch: 134/375, reward: 0.624, loss: -0.186, time_cost:9.244
2024-07-16 00:17:39.842152 Epoch: 0/20, Batch: 135/375, reward: 0.533, loss: -0.041, time_cost:6.665
2024-07-16 00:17:47.863227 Epoch: 0/20, Batch: 136/375, reward: 0.885, loss: -0.006, time_cost:8.000
2024-07-16 00:17:56.206759 Epoch: 0/20, Batch: 137/375, reward: 0.795, loss: -0.009, time_cost:8.302
2024-07-16 00:18:06.267318 Epoch: 0/20, Batch: 138/375, reward: 0.740, loss: 0.144, time_cost:10.034
2024-07-16 00:18:13.776933 Epoch: 0/20, Batch: 139/375, reward: 0.759, loss: 0.009, time_cost:7.486
2024-07-16 00:18:24.537691 Epoch: 0/20, Batch: 140/375, reward: 0.833, loss: 0.005, time_cost:10.743
2024-07-16 00:18:32.502820 Epoch: 0/20, Batch: 141/375, reward: 0.860, loss: 0.004, time_cost:7.941
2024-07-16 00:18:41.158137 Epoch: 0/20, Batch: 142/375, reward: 0.785, loss: -0.008, time_cost:8.631
2024-07-16 00:18:50.264654 Epoch: 0/20, Batch: 143/375, reward: 0.876, loss: -0.001, time_cost:9.087
2024-07-16 00:18:59.453191 Epoch: 0/20, Batch: 144/375, reward: 0.868, loss: 0.032, time_cost:9.119
2024-07-16 00:19:06.537925 Epoch: 0/20, Batch: 145/375, reward: 0.804, loss: 0.006, time_cost:7.054
